0 CLEAR1000
1250 READIL,CL,NL,RL,MX,AR,TT,LN,LT,ML,TR
1270 DIMC$(CL,7)
1280 ZZ=1:LC=1:LPRINT 2000+LC;"DATA ";:FORX=0TOCL:READC$(X,0),C$(X,1),C$(X,2),C$(X,3),C$(X,4),C$(X,5),C$(X,6),C$(X,7)
1290 FORCC=0TO7:LPRINTRIGHT$("00000"+C$(X,CC),5);:NEXT:ZZ=ZZ*-1
1300 IFZZ>0THENLC=LC+1:LPRINT:LPRINT 2000+LC;"DATA ";:NEXT:END
1310 LPRINT",";:NEXT:END
2019 DATA 3300,0,0,0,0,0,5100,0,3900,0,0,0,0,0,9813,0,1510,762,502,0,0,0,3900,0,2710,761,585,820,760,0,5303,8850,1050,68,765
2020 DATA 60,0,0,16710,0,4800,68,60,542,0,0,5910,0,4950,0,0,0,0,0,9750,0,7050,401,0,0,0,0,16613,15750,7050,421,0,0,0,0,16613
2021 DATA 15750,184,364,0,0,0,0,15300,0,1554,682,0,0,0,0,7650,0,5250,502,860,360,500,0,6212,8250,2723,521,542,480,880,540
2022 DATA 8003,8293,7350,68,60,0,0,0,9001,16607,5870,342,0,0,0,0,9600,0,166,702,380,0,0,0,8164,0,1050,68,760,100,80,502,8308
2023 DATA 4710,6761,0,0,0,0,0,16614,0,5400,0,0,0,0,0,197,0,207,82,60,0,0,0,8164,0,1257,102,221,100,80,281,8303,1200,6038,502
2024 DATA 0,0,0,0,3947,0,6039,542,0,0,0,0,5897,0,6313,241,240,260,0,0,509,7800,6313,122,0,0,0,0,450,0,6342,461,460,0,0,0,509
2025 DATA 0,7500,322,68,320,340,60,8303,810,4050,524,10,0,0,0,4950,0,4050,524,11,200,0,0,8164,0,1200,226,0,0,0,0,5700,0,6600
2026 DATA 943,221,220,500,140,2762,8700,6600,221,527,220,500,0,2762,9900,4217,183,0,0,0,0,7650,0,1521,142,140,0,0,0,7800,0
2027 DATA 4217,203,169,960,160,0,7403,8700,4217,203,228,0,0,0,150,0,4217,203,208,220,660,960,7558,8159,4217,203,188,200,660
2028 DATA 980,7558,8159,4217,203,168,980,180,0,7403,8700,7650,401,400,420,0,0,462,8902,7650,421,0,0,0,0,463,9150,4050,527,0,0
2029 DATA 0,0,15300,0,3450,586,0,0,0,0,150,0,6600,0,0,0,0,0,150,0,5281,0,0,0,0,0,16607,5100,6807,0,0,0,0,0,15450,0,2723,521
2030 DATA 480,520,260,0,8009,7800,6780,0,0,0,0,0,15450,0,6771,0,0,0,0,0,15450,0,7200,0,0,0,0,0,15600,0,207,224,560,0,0,0,8164
2031 DATA 0,7050,524,0,0,0,0,16605,16350,7050,224,0,0,0,0,16605,0,7050,384,0,0,0,0,16605,0,7050,464,0,0,0,0,16606,0,7050,264
2032 DATA 0,0,0,0,16609,0,7050,344,0,0,0,0,16609,0,7050,304,0,0,0,0,16609,0,7050,424,0,0,0,0,16605,0,7050,164,0,0,0,0,16608,0
2033 DATA 5570,281,322,340,320,0,8005,0,206,342,120,0,0,0,8156,9600,2117,201,200,180,0,0,8902,1500,2119,181,180,200,0,0,8902
2034 DATA 1350,1551,62,0,0,0,0,1711,0,166,1042,480,0,0,0,8164,0,1549,0,0,0,0,0,16611,0,2100,561,365,0,0,0,3600,0,5250,0,0,0,0
2035 DATA 0,150,0,3450,581,347,340,0,0,8118,8464,7050,24,0,0,0,0,16605,0,3611,226,0,0,0,0,5700,0,7050,404,0,0,0,0,16616,15450
2036 DATA 6774,0,0,0,0,0,9750,0,166,84,100,0,0,0,8164,0,1542,462,482,146,0,0,2311,0,7050,0,0,0,0,0,150,0,1200,0,0,0,0,0,197
2037 DATA 0,3600,0,0,0,0,0,16800,0,AUT,ANY,GO,NORTH

